etapa,manzana,lote,ubicacion_casa,area_total,costo_terreno_m2,costo_construccion_m2,,modulo_m2,,,aplica_calle,aplica_parque,,,bono,,,,,,,,,,,,,,,,
PRIMERA,A,23,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,5540,"S/ 144,040","S/ 158,444",46545,"S/ 97,495","S/ 111,899","S/ 118,899","S/ 117,899","S/ 116,899","S/ 115,899","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,24,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,25,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,26,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,27,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,28,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,29,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,30,ESPECIAL,90.25,600,1697,54150,50.6,85868,140018,1400,,"S/ 141,418","S/ 155,560",46545,"S/ 94,873","S/ 109,015",INICIAL DE 5000,"S/ 115,015","S/ 114,015","S/ 113,015","S/ 12,094","S/ 16,647",,,,,,,,
PRIMERA,A,31,ESPECIAL,90.16,600,1697,54096,50.6,85868,139964,1400,,"S/ 141,364","S/ 155,500",46545,"S/ 94,819","S/ 108,955",INICIAL DE 5000,"S/ 114,955","S/ 113,955","S/ 112,955","S/ 12,081","S/ 16,647",,,,,,,,
PRIMERA,B,1,ESPECIAL,78.08,600,1697,46848,50.6,85868,132716,,,"S/ 132,716","S/ 145,988",46545,"S/ 86,171","S/ 99,443",INICIAL DE 5000,"S/ 105,443","S/ 104,443","S/ 103,443","S/ 10,463","S/ 16,647",,,,,,,,
PRIMERA,B,2,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,3,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,4,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,5,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242",INICIAL DE 5000,"S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,6,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650",INICIAL DE 5000,"S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,7,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,8,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,9,NORMAL,70.2,600,1697,42120,50.6,85868,127988,1280,,"S/ 129,268","S/ 142,195",46545,"S/ 82,723","S/ 95,650","S/ 102,650","S/ 101,650","S/ 100,650","S/ 99,650","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,B,10,ESPECIAL,78.11,600,1697,46866,50.6,85868,132734,1327,,"S/ 134,062","S/ 147,468",46545,"S/ 87,517","S/ 100,923",INICIAL DE 5000,"S/ 106,923","S/ 105,923","S/ 104,923","S/ 10,467","S/ 16,647",,,,,,,,
PRIMERA,B,11,NORMAL,78.02,600,1697,46812,50.6,85868,132680,,,"S/ 132,680","S/ 145,948",46545,"S/ 86,135","S/ 99,403","S/ 106,403","S/ 105,403","S/ 104,403","S/ 103,403","S/ 10,455","S/ 16,647",,,,,,,,
PRIMERA,C,1,ESPECIAL,96.18,600,1697,57708,50.6,85868,143576,,5743,"S/ 149,319","S/ 164,251",46545,"S/ 102,774","S/ 117,706",INICIAL DE 5000,"S/ 123,706","S/ 122,706","S/ 121,706","S/ 12,888","S/ 16,647",,,,,,,,
PRIMERA,C,2,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,3,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,4,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,5,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,6,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,5120,"S/ 133,108","S/ 146,419",46545,"S/ 86,563","S/ 99,874",INICIAL DE 5000,"S/ 105,874","S/ 104,874","S/ 103,874","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,7,ESPECIAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242",INICIAL DE 5000,"S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,8,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,9,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,10,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,11,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,C,12,ESPECIAL,78.84,600,1697,47304,50.6,85868,133172,,,"S/ 133,172","S/ 146,489",46545,"S/ 86,627","S/ 99,944",INICIAL DE 5000,"S/ 105,944","S/ 104,944","S/ 103,944","S/ 10,565","S/ 16,647",,,,,,,,
PRIMERA,E,1,ESPECIAL,90,600,1697,54000,50.6,85868,139868,,,"S/ 139,868","S/ 153,855",46545,"S/ 93,323","S/ 107,310",INICIAL DE 5000,"S/ 113,310","S/ 112,310","S/ 111,310","S/ 12,060","S/ 16,647",,,,,,,,
PRIMERA,E,2,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,3,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,4,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
PRIMERA,E,5,NORMAL,70.2,600,1697,42120,50.6,85868,127988,,,"S/ 127,988","S/ 140,787",46545,"S/ 81,443","S/ 94,242","S/ 101,242","S/ 100,242","S/ 99,242","S/ 98,242","S/ 9,407","S/ 16,647",,,,,,,,
